epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2255,0,98.0712,0,0,0,0,0,0,59.004,0,2e-05,2e-05,2e-05
2,36.5343,0,62.9968,0,0,0,0,0,0,103.517,0,4.01e-05,4.01e-05,4.01e-05
3,55.0707,0,54.6977,0,0,0,0,0,0,134.262,0,4.832e-05,4.832e-05,4.832e-05
4,74.7524,0,50.6952,0,0,0,0,0,0,147.716,0,4.466e-05,4.466e-05,4.466e-05
5,94.5686,0,47.9429,0,0,0,0,0,0,134.427,0,2.912e-05,2.912e-05,2.912e-05
