epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4099,1.18838,5.03504,1.58554,0,0,0,0,2.33368,5.48687,2.94212,2e-05,2e-05,2e-05
2,38.4878,1.07711,3.97665,1.31566,0.07532,0.26136,0.08732,0.04131,1.44167,5.07678,1.78023,4.01e-05,4.01e-05,4.01e-05
3,57.8984,0.93776,2.5152,1.31053,0.38053,0.15909,0.19047,0.15896,1.0146,4.49648,1.31608,4.832e-05,4.832e-05,4.832e-05
4,76.2588,0.86587,2.27872,1.42273,0.72052,0.28409,0.26874,0.21756,0.86037,3.94235,1.16592,4.466e-05,4.466e-05,4.466e-05
5,94.3998,0.57844,1.68929,1.09431,0.62112,0.53409,0.5494,0.39992,0.83825,3.53573,1.11563,2.912e-05,2.912e-05,2.912e-05
